UID,Account Type,Currency,Side,Amount,Fee,Time(UTC-04:00),Remark,Type
****0219,mainAccount,USDT,Deposit,170.52115923,0.34172577,2023-12-28 16:36:17,,Spot
****0219,mainAccount,PYR,Withdrawal,22.15,0,2023-12-28 16:36:17,,Spot
****0219,mainAccount,USDT,Deposit,872.58487120344,1.74866707656,2023-12-28 16:36:18,,Spot
****0219,mainAccount,PYR,Withdrawal,188.216,0,2023-12-28 16:36:18,,Spot
****0219,mainAccount,PYR,Withdrawal,20.867,0,2023-12-28 16:36:18,,Spot
****0219,mainAccount,USDT,Deposit,103.9293747,0.2082753,2023-12-28 16:36:18,,Spot
****0219,mainAccount,PYR,Withdrawal,98.5457,0,2023-12-28 16:36:18,,Spot
****0219,mainAccount,PYR,Withdrawal,4.8187,0,2023-12-28 16:36:18,,Spot
****0219,mainAccount,USDT,Deposit,758.65133187954,1.52034335046,2023-12-28 16:36:18,,Spot
****0219,mainAccount,USDT,Deposit,160.6440193974,0.3219319026,2023-12-28 16:36:18,,Spot
****0219,mainAccount,PYR,Withdrawal,9.6375,0,2023-12-28 16:36:18,,Spot
****0219,mainAccount,PYR,Withdrawal,113.3452,0,2023-12-28 16:36:18,,Spot
****0219,mainAccount,USDT,Deposit,37.09662799014,0.07434193986,2023-12-28 16:36:18,,Spot
****0219,mainAccount,PYR,Withdrawal,41.734,0,2023-12-28 16:36:18,,Spot
****0219,mainAccount,USDT,Deposit,321.2880387948,0.6438638052,2023-12-28 16:36:18,,Spot
****0219,mainAccount,USDT,Deposit,74.1940258275,0.1486854225,2023-12-28 16:36:18,,Spot
****0219,mainAccount,USDT,Deposit,1448.9756435952,2.9037588048,2023-12-28 16:36:18,,Spot
****0219,mainAccount,USDT,Deposit,193.23165222,0.38723778,2023-12-28 16:36:18,,Spot
****0219,mainAccount,PYR,Withdrawal,25.1,0,2023-12-28 16:36:18,,Spot
****0219,mainAccount,PYR,Withdrawal,13.5,0,2023-12-28 16:36:18,,Spot
****0219,mainAccount,USDT,Deposit,170.52115923,0.34172577,2023-12-28 16:36:19,,Spot
****0219,mainAccount,PYR,Withdrawal,22.15,0,2023-12-28 16:36:19,,Spot
****0219,mainAccount,USDT,Deposit,0.16371876090645,0.00016388264355,2023-12-28 16:36:23,,Spot
****0219,mainAccount,TOKO,Withdrawal,102.9737,0,2023-12-28 16:36:23,,Spot
****0219,mainAccount,USDT,Deposit,111.6047514834,0.2236568166,2023-12-28 16:36:30,,Spot
****0219,mainAccount,PYR,Withdrawal,14.497,0,2023-12-28 16:36:30,,Spot
****0219,mainAccount,USDT,Deposit,170.52115923,0.34172577,2023-12-28 16:36:31,,Spot
****0219,mainAccount,PYR,Withdrawal,22.15,0,2023-12-28 16:36:31,,Spot
****0219,mainAccount,USDT,Deposit,107.6092444116,0.2156497884,2023-12-28 16:36:33,,Spot
****0219,mainAccount,PYR,Withdrawal,13.978,0,2023-12-28 16:36:33,,Spot
****0219,mainAccount,USDT,Deposit,962.1396586116,1.9281355884,2023-12-28 16:36:40,,Spot
****0219,mainAccount,PYR,Withdrawal,124.978,0,2023-12-28 16:36:40,,Spot
****0219,mainAccount,USDT,Deposit,36.02961974322,0.07220364678,2023-12-28 16:37:23,,Spot
****0219,mainAccount,PYR,Withdrawal,4.6801,0,2023-12-28 16:37:23,,Spot
****0219,mainAccount,USDT,Deposit,4.59454871754,0.00920751246,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,12.70013377012,0.02545116988,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,141.14128834676,0.28284827324,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,2.3022,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,10.50299876628,0.02104809372,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,52.37767289366,0.10496527634,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,1.9367,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,2.3022,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,66.7192708963,0.1337059537,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,56.25,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,56.25,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,10.26302928704,0.02056719296,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,14.5399,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,4.13605189884,0.00828868116,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,4.4593,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,2.43254232568,0.00487483432,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,8.83553023658,0.01770647342,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,13.7645,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,10.50299876628,0.02104809372,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,0.9066,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,30.9374,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,2.2496,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,52.51636247862,0.10524321138,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,229.83829630182,0.46059778818,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,66.33331238026,0.13293248974,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,20.34402849382,0.04076959618,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,8.6137,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,10.50345498202,0.02104900798,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,55.6617,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,1.0071,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,50.3793,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,39.29705519638,0.07875161362,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,2.3023,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,11.4809,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,14.6245,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,2.7838,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,0.5332,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,62.7958155323,0.1258433177,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,256.62135375,0.51427125,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,256.62135375,0.51427125,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,253.93743655158,0.50889265842,2023-12-28 16:37:24,,Spot
****0219,mainAccount,RNDR,Withdrawal,11.5113,0,2023-12-28 16:37:24,,Spot
****0219,mainAccount,USDT,Deposit,63.89731926,0.12805074,2023-12-28 16:37:53,,Spot
****0219,mainAccount,PYR,Withdrawal,8.3,0,2023-12-28 16:37:53,,Spot
****0219,mainAccount,PYR,Withdrawal,8.3,0,2023-12-28 16:37:53,,Spot
****0219,mainAccount,USDT,Deposit,63.89731926,0.12805074,2023-12-28 16:37:53,,Spot
****0219,mainAccount,PYR,Withdrawal,8.3,0,2023-12-28 16:37:53,,Spot
****0219,mainAccount,USDT,Deposit,63.89731926,0.12805074,2023-12-28 16:37:53,,Spot
****0219,mainAccount,USDT,Deposit,200.4451206714,0.4016936286,2023-12-28 16:37:54,,Spot
****0219,mainAccount,USDT,Deposit,59.69038,0.11962,2023-12-28 16:37:54,,Spot
****0219,mainAccount,KDA,Withdrawal,50,0,2023-12-28 16:37:54,,Spot
****0219,mainAccount,PYR,Withdrawal,26.037,0,2023-12-28 16:37:54,,Spot
****0219,mainAccount,TOKO,Withdrawal,121392.8981,0,2023-12-28 16:38:00,,Spot
****0219,mainAccount,USDT,Deposit,193.00360052882385,0.19319679732615,2023-12-28 16:38:00,,Spot
****0219,mainAccount,USDT,Deposit,0.708986457456,0.001420814544,2023-12-28 16:38:55,,Spot
****0219,mainAccount,FLAME,Withdrawal,642.8,0,2023-12-28 16:38:55,,Spot
****0219,mainAccount,USDT,Deposit,0.211397857,0.000423643,2023-12-28 16:38:55,,Spot
****0219,mainAccount,FLAME,Withdrawal,4.054,0,2023-12-28 16:38:55,,Spot
****0219,mainAccount,USDT,Deposit,3.6802248,0.0073752,2023-12-28 16:38:55,,Spot
****0219,mainAccount,FLAME,Withdrawal,13.4751,0,2023-12-28 16:38:55,,Spot
****0219,mainAccount,USDT,Deposit,0.657814907652,0.001318266348,2023-12-28 16:38:55,,Spot
****0219,mainAccount,USDT,Deposit,0.689136183564,0.001381034436,2023-12-28 16:38:55,,Spot
****0219,mainAccount,USDT,Deposit,0.699203296988,0.001401209012,2023-12-28 16:38:55,,Spot
****0219,mainAccount,USDT,Deposit,0.702101619726,0.001407017274,2023-12-28 16:38:55,,Spot
****0219,mainAccount,FLAME,Withdrawal,70,0,2023-12-28 16:38:55,,Spot
****0219,mainAccount,USDT,Deposit,0.703203753042,0.001409225958,2023-12-28 16:38:55,,Spot
****0219,mainAccount,FLAME,Withdrawal,13.3882,0,2023-12-28 16:38:55,,Spot
****0219,mainAccount,USDT,Deposit,33.55120312,0.06723688,2023-12-28 16:38:55,,Spot
****0219,mainAccount,FLAME,Withdrawal,85.9066,0,2023-12-28 16:38:55,,Spot
****0219,mainAccount,FLAME,Withdrawal,13.4751,0,2023-12-28 16:38:55,,Spot
****0219,mainAccount,USDT,Deposit,1.292293445576,0.002589766424,2023-12-28 16:38:55,,Spot
****0219,mainAccount,FLAME,Withdrawal,22.8521,0,2023-12-28 16:38:55,,Spot
****0219,mainAccount,USDT,Deposit,4.486501393244,0.008990984756,2023-12-28 16:38:55,,Spot
****0219,mainAccount,FLAME,Withdrawal,12.5382,0,2023-12-28 16:38:55,,Spot
