UID,Account Type,Order ID,Order Time(UTC-04:00),Symbol,Side,Order Type,Order Price,Order Amount,Avg. Filled Price,Filled Amount,Filled Volume,Filled Volume (USDT),Filled Time(UTC-04:00),Fee,Fee Currency,Tax,Status
****0219,mainAccount,61aa511f0cfe8300014188c0,2021-12-03 13:17:19,UOS-USDT,BUY,LIMIT,1.60449,1532.9418,1.60449,1532.9418,2459.589788682,,2021-12-03 15:36:19,4.919179577364,USDT,,deal
****0219,mainAccount,61aa69637d3abc0001739121,2021-12-03 15:00:51,UOS-USDT,BUY,LIMIT,1.66977,1652.7207,1.66977,1652.7207,2759.663443239,,2021-12-03 15:00:51,5.519326886478,USDT,,deal
****0219,mainAccount,61aa6c10fbade60001dc23fa,2021-12-03 15:12:16,PYR-USDT,BUY,LIMIT,34.0,26.8395,34.0,26.8395,912.543,,2021-12-03 15:29:35,1.825086,USDT,,deal
****0219,mainAccount,61aa76a20cfe830001f549e9,2021-12-03 15:57:22,PYR-USDT,BUY,LIMIT,32.5,90.0,32.5,90.0,2925.0,,2021-12-03 16:18:46,5.85,USDT,,deal
****0219,mainAccount,61aa87c99b0abc000150c229,2021-12-03 17:10:33,NAKA-USDT,BUY,LIMIT,4.4296,451.508,4.4296,451.508,1999.9998368,,2021-12-03 17:10:33,3.9999996736,USDT,,deal
****0219,mainAccount,61aac8bec3130f0001e190e6,2021-12-03 21:47:42,KDA-USDT,BUY,LIMIT,13.911,50.0,13.911,50.0,695.55,,2021-12-03 21:48:47,1.3911,USDT,,deal
****0219,mainAccount,61aad2eff7a6ad000135a945,2021-12-03 22:31:11,RFOX-USDT,BUY,LIMIT,0.1949,6797.1518,0.1939059566390734,6797.1518,1318.0082222,,2021-12-03 22:31:12,2.6360164444,USDT,,deal
****0219,mainAccount,61aadf2fc3130f0001380f80,2021-12-03 23:23:27,EGLD-USDT,BUY,LIMIT,331.68,3.0,331.68,3.0,995.04,,2021-12-03 23:24:07,0.99504,USDT,,deal
****0219,mainAccount,61aae9bd0cfe8300010b62f8,2021-12-04 00:08:29,UOS-USDT,BUY,LIMIT,1.54082,1000.0,1.54082,75.0,115.5615,,2021-12-04 00:26:19,0.231123,USDT,,part_deal
****0219,mainAccount,61aaf64e9b0abc000135e191,2021-12-04 01:02:06,PYR-USDT,BUY,LIMIT,30.8837,50.0,30.8837,50.0,1544.185,,2021-12-04 01:02:31,3.08837,USDT,,deal
****0219,mainAccount,61aafa7a292c1800011c8016,2021-12-04 01:19:54,PYR-USDT,BUY,LIMIT,29.0,70.0,29.0,70.0,2030.0,,2021-12-04 01:32:23,4.06,USDT,,deal
