UID,Account Type,Order ID,Symbol,Side,Order Type,Avg. Filled Price,Filled Amount,Filled Volume,Filled Volume (USDT),Filled Time(UTC-04:00),Fee,Tax,Maker/Taker,Fee Currency
****0219,mainAccount,619bc4def8998b000187af39,PYR-USDT,BUY,LIMIT,27.4972,3.3621,92.44833612,92.44833612,2021-11-22 12:27:11,0.18489667224,,MAKER,USDT
****0219,mainAccount,619bc4def8998b000187af39,PYR-USDT,BUY,LIMIT,27.4972,2.1331,58.65427732,58.65427732,2021-11-22 12:27:11,0.11730855464,,MAKER,USDT
****0219,mainAccount,619bc4def8998b000187af39,PYR-USDT,BUY,LIMIT,27.4972,0.8934,24.56599848,24.56599848,2021-11-22 12:27:11,0.04913199696,,MAKER,USDT
****0219,mainAccount,619bc4def8998b000187af39,PYR-USDT,BUY,LIMIT,27.4972,0.15,4.12458,4.12458,2021-11-22 12:27:11,0.00824916,,MAKER,USDT
****0219,mainAccount,619bc4def8998b000187af39,PYR-USDT,BUY,LIMIT,27.4972,1.5714,43.20910008,43.20910008,2021-11-22 12:27:11,0.08641820016,,MAKER,USDT
****0219,mainAccount,619bc4def8998b000187af39,PYR-USDT,BUY,LIMIT,27.4972,0.8841,24.31027452,24.31027452,2021-11-22 12:27:11,0.04862054904,,MAKER,USDT
****0219,mainAccount,619bc4def8998b000187af39,PYR-USDT,BUY,LIMIT,27.4972,0.9489,26.09209308,26.09209308,2021-11-22 12:27:11,0.05218418616,,MAKER,USDT
****0219,mainAccount,619bc4def8998b000187af39,PYR-USDT,BUY,LIMIT,27.4972,1.8291,50.29512852,50.29512852,2021-11-22 12:27:11,0.10059025704,,MAKER,USDT
****0219,mainAccount,619bc4def8998b000187af39,PYR-USDT,BUY,LIMIT,27.4972,9.8413,270.60819436,270.60819436,2021-11-22 12:27:12,0.54121638872,,MAKER,USDT
****0219,mainAccount,619bc4def8998b000187af39,PYR-USDT,BUY,LIMIT,27.4972,14.1388,388.77741136,388.77741136,2021-11-22 12:27:22,0.77755482272,,MAKER,USDT
****0219,mainAccount,619bc4def8998b000187af39,PYR-USDT,BUY,LIMIT,27.4972,0.9549,26.25707628,26.25707628,2021-11-22 12:27:24,0.05251415256,,MAKER,USDT
****0219,mainAccount,619bc4def8998b000187af39,PYR-USDT,BUY,LIMIT,27.4972,0.1432,3.93759904,3.93759904,2021-11-22 12:27:42,0.00787519808,,MAKER,USDT
